,Unnamed: 0,Date,Host,Guest,Status,Season,Host: current season market value,Guest: current season market value,Host: G average at home last season,Host: G average as guests last season,Host: GA average last season,Host: G average last season,Host: league positon last season,Host: GA 1-15 min last season,Host: GA 16-30 min last season,Host: GA 31-45 min last season,Host: GA 46-60 min last season,Host: GA 61-75 min last season,Host: GA 76+ min last season,Guest: G average at home last season,Guest: G average as guests last season,Guest: G average last season,Guest: GA average last season,Guest: league position last season,Guest: GA 1-15 min last season,Guest: GA 16-30 min last season,Guest: GA 31-45 min last season,Guest: GA 46-60 min last season,Guest: GA 61-75 min last season,Guest: GA 76+ min last season,Guest: G average this season,Guest: GA average this season,Guest: matches played this season,Guest: days since last match,Guest: G/GA delta this season,Guest: xG average this season,Host: G average this season,Host: GA average this season,Host: matches played this season,Host: days since last match,Host: G/GA delta this season,Host: xG average this season,Host: Team this season,Host: M this season,Host: W this season,Host: D this season,Host: L this season,Host: G this season,Host: GA this season,Host: PTS this season,Host: xG this season,Host: NPxG this season,Host: xGA this season,Host: NPxGA this season,Host: NPxGD this season,Host: PPDA this season,Host: OPPDA this season,Host: DC this season,Host: ODC this season,Host: xPTS this season,Guest: M this season,Guest: W this season,Guest: D this season,Guest: L this season,Guest: G this season,Guest: GA this season,Guest: PTS this season,Guest: xG this season,Guest: NPxG this season,Guest: xGA this season,Guest: NPxGA this season,Guest: NPxGD this season,Guest: PPDA this season,Guest: OPPDA this season,Guest: DC this season,Guest: ODC this season,Guest: xPTS this season,Host: h2h average xG 3y,Guest: h2h average xG 3y,Host: h2h average G 3y,Host: h2h average GA 3y
165,165,25.04.2023,Wolverhampton Wanderers,Crystal Palace,Upcoming,england-premier-league-2022-2023,,,1.0526315789473684,0.9473684210526316,1.131578947368421,1.0,10.0,0.2105263157894736,0.1578947368421052,0.1052631578947368,0.2105263157894736,0.0526315789473684,0.2631578947368421,1.4210526315789471,1.2105263157894737,1.3157894736842106,1.2105263157894737,12.0,0.14,0.08,0.18,0.18,0.18,0.24,1.0714285714285714,1.2857142857142858,14.0,3,-3.0,1.4471392857142857,0.5333333333333333,1.6,15.0,3,-16.0,1.3854006666666667,Wolverhampton Wanderers,15.0,2.0,4.0,9.0,8.0,24.0,10.0,14.23,12.7,20.78,19.26,-6.56,14.83,11.35,91.0,114.0,15.49,14.0,5.0,4.0,5.0,15.0,18.0,19.0,15.3,13.63,20.26,20.26,-6.63,14.52,8.97,63.0,133.0,15.87,1.0012603333333334,1.4642721666666665,0.8333333333333334,1.0
166,166,25.04.2023,Aston Villa,Fulham,Upcoming,england-premier-league-2022-2023,€464.60m,€240.00m,1.5263157894736843,1.2105263157894737,1.4210526315789471,1.368421052631579,14.0,0.1153846153846153,0.1153846153846153,0.1346153846153846,0.173076923076923,0.2307692307692307,0.2307692307692307,,,,,,,,,,,,1.6,1.7333333333333334,15.0,3,-2.0,2.1736988,1.0666666666666667,1.4666666666666666,15.0,3,-6.0,1.422414,Aston Villa,15.0,5.0,3.0,7.0,16.0,22.0,18.0,17.35,15.83,21.34,18.91,-3.08,11.87,11.7,93.0,104.0,20.24,15.0,5.0,4.0,6.0,24.0,26.0,19.0,21.51,17.71,32.61,30.32,-12.62,15.23,11.9,71.0,116.0,15.32,1.777255,1.0281975,3.0,0.5
167,167,26.04.2023,Chelsea,Brentford,Upcoming,england-premier-league-2022-2023,€846.50m,€305.50m,1.947368421052632,2.0526315789473686,0.868421052631579,2.0,3.0,0.1447368421052631,0.1447368421052631,0.1578947368421052,0.25,0.0921052631578947,0.2105263157894736,1.1578947368421053,1.368421052631579,1.263157894736842,1.4736842105263157,13.0,0.1041666666666666,0.1458333333333333,0.0833333333333333,0.2291666666666666,0.125,0.3125,1.5333333333333334,1.6666666666666667,15.0,4,-2.0,1.5089035999999998,1.2142857142857142,1.2142857142857142,14.0,4,0.0,1.5618555,Chelsea,14.0,6.0,3.0,5.0,17.0,17.0,21.0,16.81,15.29,21.87,21.87,-6.58,8.82,13.77,100.0,62.0,15.72,15.0,4.0,7.0,4.0,23.0,25.0,19.0,23.45,20.41,22.63,21.87,-1.47,11.43,9.95,88.0,139.0,22.09,0.769198,2.027955,1.0,2.0
168,168,26.04.2023,Southampton,Bournemouth,Upcoming,england-premier-league-2022-2023,€315.00m,€179.70m,1.2105263157894737,1.0526315789473684,1.763157894736842,1.131578947368421,15.0,0.1860465116279069,0.1627906976744186,0.1860465116279069,0.2325581395348837,0.0697674418604651,0.1627906976744186,,,,,,,,,,,,1.2,2.1333333333333333,15.0,4,-14.0,1.6939280666666667,0.8666666666666667,1.8,15.0,4,-14.0,1.5433526666666666,Southampton,15.0,3.0,3.0,9.0,13.0,27.0,12.0,16.15,16.15,23.15,23.15,-7.0,13.54,8.72,93.0,119.0,15.97,15.0,4.0,4.0,7.0,18.0,32.0,16.0,13.32,13.32,25.41,21.6,-8.28,18.58,8.51,75.0,149.0,13.09,2.21274,0.9404235000000001,1.5,1.5
169,169,26.04.2023,Manchester City,Arsenal,Upcoming,england-premier-league-2022-2023,€1.09bn,€749.00m,3.0526315789473686,2.1578947368421053,0.6842105263157895,2.6052631578947367,1.0,0.202020202020202,0.1414141414141414,0.1111111111111111,0.1313131313131313,0.1919191919191919,0.2222222222222222,1.8421052631578947,1.368421052631579,1.605263157894737,1.263157894736842,5.0,0.1967213114754098,0.2295081967213114,0.081967213114754,0.2295081967213114,0.081967213114754,0.180327868852459,2.357142857142857,0.7857142857142857,14.0,4,22.0,0.8436295714285716,2.857142857142857,1.0,14.0,4,26.0,0.9403484285714285,Manchester City,14.0,10.0,2.0,2.0,40.0,14.0,32.0,30.74,28.46,13.16,11.64,16.82,11.47,25.6,193.0,44.0,30.94,14.0,12.0,1.0,1.0,33.0,11.0,37.0,29.54,28.78,11.81,10.29,18.49,9.77,14.27,158.0,58.0,31.08,2.3951083333333334,0.4836055000000001,2.5,0.16666666666666666
170,170,29.04.2023,Arsenal,Chelsea,Upcoming,england-premier-league-2022-2023,€749.00m,€846.50m,1.8421052631578947,1.368421052631579,1.263157894736842,1.605263157894737,5.0,0.1967213114754098,0.2295081967213114,0.081967213114754,0.2295081967213114,0.081967213114754,0.180327868852459,1.947368421052632,2.0526315789473686,2.0,0.868421052631579,3.0,0.1447368421052631,0.1447368421052631,0.1578947368421052,0.25,0.0921052631578947,0.2105263157894736,1.2142857142857142,1.2142857142857142,14.0,3,0.0,1.5618555,2.357142857142857,0.7857142857142857,14.0,3,22.0,0.8436295714285716,Arsenal,14.0,12.0,1.0,1.0,33.0,11.0,37.0,29.54,28.78,11.81,10.29,18.49,9.77,14.27,158.0,58.0,31.08,14.0,6.0,3.0,5.0,17.0,17.0,21.0,16.81,15.29,21.87,21.87,-6.58,8.82,13.77,100.0,62.0,15.72,1.0822654999999999,2.1566501666666666,1.8333333333333333,1.5
171,171,29.04.2023,Bournemouth,Leeds,Upcoming,england-premier-league-2022-2023,€179.70m,€271.80m,,,,,,,,,,,,1.0,1.2105263157894737,1.105263157894737,2.0789473684210527,17.0,0.0952380952380952,0.1666666666666666,0.0952380952380952,0.1904761904761904,0.1666666666666666,0.2857142857142857,1.5714285714285714,1.8571428571428572,14.0,4,-4.0,1.591342714285714,1.2,2.1333333333333333,15.0,3,-14.0,1.6939280666666667,Bournemouth,15.0,4.0,4.0,7.0,18.0,32.0,16.0,13.32,13.32,25.41,21.6,-8.28,18.58,8.51,75.0,149.0,13.09,14.0,4.0,3.0,7.0,22.0,26.0,15.0,21.19,19.66,22.28,21.52,-1.85,8.46,10.55,95.0,89.0,18.78,1.55594,2.22532,3.0,4.0
172,172,29.04.2023,Brentford,Nottingham Forest,Upcoming,england-premier-league-2022-2023,€305.50m,€280.80m,1.1578947368421053,1.368421052631579,1.4736842105263157,1.263157894736842,13.0,0.1041666666666666,0.1458333333333333,0.0833333333333333,0.2291666666666666,0.125,0.3125,,,,,,,,,,,,0.7333333333333333,2.0,15.0,4,-19.0,1.7812905333333338,1.5333333333333334,1.6666666666666667,15.0,3,-2.0,1.5089035999999998,Brentford,15.0,4.0,7.0,4.0,23.0,25.0,19.0,23.45,20.41,22.63,21.87,-1.47,11.43,9.95,88.0,139.0,22.09,15.0,3.0,4.0,8.0,11.0,30.0,13.0,15.53,14.01,26.72,22.91,-8.91,17.8,9.69,57.0,149.0,14.17,1.2204,1.29696,2.0,2.0
173,173,29.04.2023,Brighton,Wolverhampton Wanderers,Upcoming,england-premier-league-2022-2023,€313.10m,,1.0,1.2105263157894737,1.1578947368421053,1.105263157894737,9.0,0.0952380952380952,0.0952380952380952,0.1904761904761904,0.1666666666666666,0.119047619047619,0.3333333333333333,1.0526315789473684,0.9473684210526316,1.0,1.131578947368421,10.0,0.2105263157894736,0.1578947368421052,0.1052631578947368,0.2105263157894736,0.0526315789473684,0.2631578947368421,0.5333333333333333,1.6,15.0,4,-16.0,1.3854006666666667,1.6428571428571428,1.3571428571428572,14.0,4,4.0,1.1477214285714283,Brighton,14.0,6.0,3.0,5.0,23.0,19.0,21.0,24.9,22.61,16.07,13.02,9.59,10.3,14.42,128.0,89.0,25.52,15.0,2.0,4.0,9.0,8.0,24.0,10.0,14.23,12.7,20.78,19.26,-6.56,14.83,11.35,91.0,114.0,15.49,1.3444958333333334,1.2253388333333335,1.5,1.3333333333333333
174,174,29.04.2023,Crystal Palace,West Ham,Upcoming,england-premier-league-2022-2023,€293.20m,€459.50m,1.4210526315789471,1.2105263157894737,1.2105263157894737,1.3157894736842106,12.0,0.14,0.08,0.18,0.18,0.18,0.24,1.736842105263158,1.4210526315789471,1.5789473684210529,1.3421052631578947,7.0,0.0833333333333333,0.15,0.1833333333333333,0.1666666666666666,0.2166666666666666,0.2,0.8,1.1333333333333333,15.0,4,-5.0,1.1686907333333332,1.0714285714285714,1.2857142857142858,14.0,4,-3.0,1.4471392857142857,Crystal Palace,14.0,5.0,4.0,5.0,15.0,18.0,19.0,15.3,13.63,20.26,20.26,-6.63,14.52,8.97,63.0,133.0,15.87,15.0,4.0,2.0,9.0,12.0,17.0,14.0,19.59,16.55,17.53,15.25,1.3,18.37,15.5,66.0,83.0,21.75,1.7164804999999996,1.5772878333333333,1.8333333333333333,1.8333333333333333
175,175,29.04.2023,Fulham,Manchester City,Upcoming,england-premier-league-2022-2023,€240.00m,€1.09bn,,,,,,,,,,,,3.0526315789473686,2.1578947368421053,2.6052631578947367,0.6842105263157895,1.0,0.202020202020202,0.1414141414141414,0.1111111111111111,0.1313131313131313,0.1919191919191919,0.2222222222222222,2.857142857142857,1.0,14.0,3,26.0,0.9403484285714285,1.6,1.7333333333333334,15.0,4,-2.0,2.1736988,Fulham,15.0,5.0,4.0,6.0,24.0,26.0,19.0,21.51,17.71,32.61,30.32,-12.62,15.23,11.9,71.0,116.0,15.32,14.0,10.0,2.0,2.0,40.0,14.0,32.0,30.74,28.46,13.16,11.64,16.82,11.47,25.6,193.0,44.0,30.94,0.60617775,2.693925,0.5,2.25
176,176,29.04.2023,Leicester,Everton,Upcoming,england-premier-league-2022-2023,€428.10m,€409.10m,1.7894736842105263,1.4736842105263157,1.5526315789473684,1.631578947368421,8.0,0.1129032258064516,0.1451612903225806,0.2096774193548387,0.1451612903225806,0.1935483870967742,0.1935483870967742,1.4210526315789471,0.8421052631578947,1.131578947368421,1.736842105263158,16.0,0.0930232558139534,0.1395348837209302,0.0930232558139534,0.2558139534883721,0.2325581395348837,0.1860465116279069,0.7333333333333333,1.1333333333333333,15.0,4,-6.0,1.6919321999999999,1.6666666666666667,1.6666666666666667,15.0,4,0.0,1.4051575333333337,Leicester,15.0,5.0,2.0,8.0,25.0,25.0,17.0,16.24,14.72,21.08,20.32,-5.6,12.95,16.46,96.0,107.0,17.14,15.0,3.0,5.0,7.0,11.0,17.0,14.0,16.22,16.22,25.38,23.86,-7.64,15.2,10.18,80.0,123.0,14.26,1.3232196666666667,1.2766934999999997,1.0,1.5
177,177,29.04.2023,Liverpool,Tottenham,Upcoming,england-premier-league-2022-2023,€867.00m,€678.40m,2.5789473684210527,2.3684210526315788,0.6842105263157895,2.473684210526316,2.0,0.1276595744680851,0.1808510638297872,0.1489361702127659,0.1276595744680851,0.1914893617021276,0.2234042553191489,2.0,1.631578947368421,1.8157894736842104,1.0526315789473684,4.0,0.1594202898550724,0.1304347826086956,0.1739130434782608,0.1884057971014492,0.2028985507246377,0.144927536231884,2.066666666666667,1.4,15.0,4,10.0,1.2043640666666668,2.0,1.2142857142857142,14.0,4,11.0,1.6497192857142857,Liverpool,14.0,6.0,4.0,4.0,28.0,17.0,22.0,29.58,29.58,23.1,20.81,8.77,10.3,21.39,165.0,97.0,22.44,15.0,9.0,2.0,4.0,31.0,21.0,29.0,26.09,23.8,18.07,17.3,6.5,13.52,16.04,107.0,114.0,25.89,1.7229166666666667,1.3097268333333332,1.8333333333333333,1.0
178,178,29.04.2023,Manchester United,Aston Villa,Upcoming,england-premier-league-2022-2023,€732.60m,€464.60m,1.6842105263157894,1.3157894736842106,1.5,1.5,6.0,0.087719298245614,0.1052631578947368,0.1578947368421052,0.2105263157894736,0.2280701754385964,0.2105263157894736,1.5263157894736843,1.2105263157894737,1.368421052631579,1.4210526315789471,14.0,0.1153846153846153,0.1153846153846153,0.1346153846153846,0.173076923076923,0.2307692307692307,0.2307692307692307,1.0666666666666667,1.4666666666666666,15.0,4,-6.0,1.422414,1.4285714285714286,1.4285714285714286,14.0,4,0.0,1.2388056428571428,Manchester United,14.0,8.0,2.0,4.0,20.0,20.0,26.0,21.85,21.09,17.34,16.58,4.51,14.09,13.6,114.0,112.0,22.42,15.0,5.0,3.0,7.0,16.0,22.0,18.0,17.35,15.83,21.34,18.91,-3.08,11.87,11.7,93.0,104.0,20.24,2.0574816666666664,1.2376708333333333,2.0,1.1666666666666667
179,179,29.04.2023,Newcastle United,Southampton,Upcoming,england-premier-league-2022-2023,€447.10m,€315.00m,1.368421052631579,0.9473684210526316,1.631578947368421,1.1578947368421053,11.0,0.1590909090909091,0.0681818181818181,0.3409090909090909,0.2045454545454545,0.1136363636363636,0.1136363636363636,1.2105263157894737,1.0526315789473684,1.131578947368421,1.763157894736842,15.0,0.1860465116279069,0.1627906976744186,0.1860465116279069,0.2325581395348837,0.0697674418604651,0.1627906976744186,0.8666666666666667,1.8,15.0,3,-14.0,1.5433526666666666,1.9333333333333333,0.7333333333333333,15.0,4,18.0,1.16346098,Newcastle United,15.0,8.0,6.0,1.0,29.0,11.0,30.0,28.43,26.9,17.45,16.69,10.21,9.77,11.89,158.0,90.0,26.32,15.0,3.0,3.0,9.0,13.0,27.0,12.0,16.15,16.15,23.15,23.15,-7.0,13.54,8.72,93.0,119.0,15.97,1.2095865000000001,1.6534015000000002,1.6666666666666667,1.3333333333333333
180,180,06.05.2023,Bournemouth,Chelsea,Upcoming,england-premier-league-2022-2023,€179.70m,€846.50m,,,,,,,,,,,,1.947368421052632,2.0526315789473686,2.0,0.868421052631579,3.0,0.1447368421052631,0.1447368421052631,0.1578947368421052,0.25,0.0921052631578947,0.2105263157894736,1.2142857142857142,1.2142857142857142,14.0,7,0.0,1.5618555,1.2,2.1333333333333333,15.0,7,-14.0,1.6939280666666667,Bournemouth,15.0,4.0,4.0,7.0,18.0,32.0,16.0,13.32,13.32,25.41,21.6,-8.28,18.58,8.51,75.0,149.0,13.09,14.0,6.0,3.0,5.0,17.0,17.0,21.0,16.81,15.29,21.87,21.87,-6.58,8.82,13.77,100.0,62.0,15.72,1.39636,2.00195,1.5,1.0
181,181,06.05.2023,Brighton,Everton,Upcoming,england-premier-league-2022-2023,€313.10m,€409.10m,1.0,1.2105263157894737,1.1578947368421053,1.105263157894737,9.0,0.0952380952380952,0.0952380952380952,0.1904761904761904,0.1666666666666666,0.119047619047619,0.3333333333333333,1.4210526315789471,0.8421052631578947,1.131578947368421,1.736842105263158,16.0,0.0930232558139534,0.1395348837209302,0.0930232558139534,0.2558139534883721,0.2325581395348837,0.1860465116279069,0.7333333333333333,1.1333333333333333,15.0,7,-6.0,1.6919321999999999,1.6428571428571428,1.3571428571428572,14.0,7,4.0,1.1477214285714283,Brighton,14.0,6.0,3.0,5.0,23.0,19.0,21.0,24.9,22.61,16.07,13.02,9.59,10.3,14.42,128.0,89.0,25.52,15.0,3.0,5.0,7.0,11.0,17.0,14.0,16.22,16.22,25.38,23.86,-7.64,15.2,10.18,80.0,123.0,14.26,1.2003253333333332,1.5158078333333334,1.3333333333333333,1.8333333333333333
182,182,06.05.2023,Fulham,Leicester,Upcoming,england-premier-league-2022-2023,€240.00m,€428.10m,,,,,,,,,,,,1.7894736842105263,1.4736842105263157,1.631578947368421,1.5526315789473684,8.0,0.1129032258064516,0.1451612903225806,0.2096774193548387,0.1451612903225806,0.1935483870967742,0.1935483870967742,1.6666666666666667,1.6666666666666667,15.0,7,0.0,1.4051575333333337,1.6,1.7333333333333334,15.0,7,-2.0,2.1736988,Fulham,15.0,5.0,4.0,6.0,24.0,26.0,19.0,21.51,17.71,32.61,30.32,-12.62,15.23,11.9,71.0,116.0,15.32,15.0,5.0,2.0,8.0,25.0,25.0,17.0,16.24,14.72,21.08,20.32,-5.6,12.95,16.46,96.0,107.0,17.14,1.384239,1.495565,1.0,1.5
183,183,06.05.2023,Liverpool,Brentford,Upcoming,england-premier-league-2022-2023,€867.00m,€305.50m,2.5789473684210527,2.3684210526315788,0.6842105263157895,2.473684210526316,2.0,0.1276595744680851,0.1808510638297872,0.1489361702127659,0.1276595744680851,0.1914893617021276,0.2234042553191489,1.1578947368421053,1.368421052631579,1.263157894736842,1.4736842105263157,13.0,0.1041666666666666,0.1458333333333333,0.0833333333333333,0.2291666666666666,0.125,0.3125,1.5333333333333334,1.6666666666666667,15.0,7,-2.0,1.5089035999999998,2.0,1.2142857142857142,14.0,7,11.0,1.6497192857142857,Liverpool,14.0,6.0,4.0,4.0,28.0,17.0,22.0,29.58,29.58,23.1,20.81,8.77,10.3,21.39,165.0,97.0,22.44,15.0,4.0,7.0,4.0,23.0,25.0,19.0,23.45,20.41,22.63,21.87,-1.47,11.43,9.95,88.0,139.0,22.09,2.874175,1.6586180000000001,3.0,1.5
184,184,06.05.2023,Manchester City,Leeds,Upcoming,england-premier-league-2022-2023,€1.09bn,€271.80m,3.0526315789473686,2.1578947368421053,0.6842105263157895,2.6052631578947367,1.0,0.202020202020202,0.1414141414141414,0.1111111111111111,0.1313131313131313,0.1919191919191919,0.2222222222222222,1.0,1.2105263157894737,1.105263157894737,2.0789473684210527,17.0,0.0952380952380952,0.1666666666666666,0.0952380952380952,0.1904761904761904,0.1666666666666666,0.2857142857142857,1.5714285714285714,1.8571428571428572,14.0,7,-4.0,1.591342714285714,2.857142857142857,1.0,14.0,7,26.0,0.9403484285714285,Manchester City,14.0,10.0,2.0,2.0,40.0,14.0,32.0,30.74,28.46,13.16,11.64,16.82,11.47,25.6,193.0,44.0,30.94,14.0,4.0,3.0,7.0,22.0,26.0,15.0,21.19,19.66,22.28,21.52,-1.85,8.46,10.55,95.0,89.0,18.78,2.432845,1.0013619999999999,3.25,0.75
185,185,06.05.2023,Newcastle United,Arsenal,Upcoming,england-premier-league-2022-2023,€447.10m,€749.00m,1.368421052631579,0.9473684210526316,1.631578947368421,1.1578947368421053,11.0,0.1590909090909091,0.0681818181818181,0.3409090909090909,0.2045454545454545,0.1136363636363636,0.1136363636363636,1.8421052631578947,1.368421052631579,1.605263157894737,1.263157894736842,5.0,0.1967213114754098,0.2295081967213114,0.081967213114754,0.2295081967213114,0.081967213114754,0.180327868852459,2.357142857142857,0.7857142857142857,14.0,7,22.0,0.8436295714285716,1.9333333333333333,0.7333333333333333,15.0,7,18.0,1.16346098,Newcastle United,15.0,8.0,6.0,1.0,29.0,11.0,30.0,28.43,26.9,17.45,16.69,10.21,9.77,11.89,158.0,90.0,26.32,14.0,12.0,1.0,1.0,33.0,11.0,37.0,29.54,28.78,11.81,10.29,18.49,9.77,14.27,158.0,58.0,31.08,0.6262213333333334,1.9313323333333334,0.3333333333333333,2.0
186,186,06.05.2023,Nottingham Forest,Southampton,Upcoming,england-premier-league-2022-2023,€280.80m,€315.00m,,,,,,,,,,,,1.2105263157894737,1.0526315789473684,1.131578947368421,1.763157894736842,15.0,0.1860465116279069,0.1627906976744186,0.1860465116279069,0.2325581395348837,0.0697674418604651,0.1627906976744186,0.8666666666666667,1.8,15.0,7,-14.0,1.5433526666666666,0.7333333333333333,2.0,15.0,7,-19.0,1.7812905333333338,Nottingham Forest,15.0,3.0,4.0,8.0,11.0,30.0,13.0,15.53,14.01,26.72,22.91,-8.91,17.8,9.69,57.0,149.0,14.17,15.0,3.0,3.0,9.0,13.0,27.0,12.0,16.15,16.15,23.15,23.15,-7.0,13.54,8.72,93.0,119.0,15.97,0.0,0.0,0.0,0.0
187,187,06.05.2023,Tottenham,Crystal Palace,Upcoming,england-premier-league-2022-2023,€678.40m,€293.20m,2.0,1.631578947368421,1.0526315789473684,1.8157894736842104,4.0,0.1594202898550724,0.1304347826086956,0.1739130434782608,0.1884057971014492,0.2028985507246377,0.144927536231884,1.4210526315789471,1.2105263157894737,1.3157894736842106,1.2105263157894737,12.0,0.14,0.08,0.18,0.18,0.18,0.24,1.0714285714285714,1.2857142857142858,14.0,7,-3.0,1.4471392857142857,2.066666666666667,1.4,15.0,7,10.0,1.2043640666666668,Tottenham,15.0,9.0,2.0,4.0,31.0,21.0,29.0,26.09,23.8,18.07,17.3,6.5,13.52,16.04,107.0,114.0,25.89,14.0,5.0,4.0,5.0,15.0,18.0,19.0,15.3,13.63,20.26,20.26,-6.63,14.52,8.97,63.0,133.0,15.87,1.3180494333333335,1.1736189999999997,2.1666666666666665,1.0
188,188,06.05.2023,West Ham,Manchester United,Upcoming,england-premier-league-2022-2023,€459.50m,€732.60m,1.736842105263158,1.4210526315789471,1.3421052631578947,1.5789473684210529,7.0,0.0833333333333333,0.15,0.1833333333333333,0.1666666666666666,0.2166666666666666,0.2,1.6842105263157894,1.3157894736842106,1.5,1.5,6.0,0.087719298245614,0.1052631578947368,0.1578947368421052,0.2105263157894736,0.2280701754385964,0.2105263157894736,1.4285714285714286,1.4285714285714286,14.0,7,0.0,1.2388056428571428,0.8,1.1333333333333333,15.0,7,-5.0,1.1686907333333332,West Ham,15.0,4.0,2.0,9.0,12.0,17.0,14.0,19.59,16.55,17.53,15.25,1.3,18.37,15.5,66.0,83.0,21.75,14.0,8.0,2.0,4.0,20.0,20.0,26.0,21.85,21.09,17.34,16.58,4.51,14.09,13.6,114.0,112.0,22.42,1.117129,1.5674585,0.8333333333333334,1.3333333333333333
189,189,06.05.2023,Wolverhampton Wanderers,Aston Villa,Upcoming,england-premier-league-2022-2023,,,1.0526315789473684,0.9473684210526316,1.131578947368421,1.0,10.0,0.2105263157894736,0.1578947368421052,0.1052631578947368,0.2105263157894736,0.0526315789473684,0.2631578947368421,1.5263157894736843,1.2105263157894737,1.368421052631579,1.4210526315789471,14.0,0.1153846153846153,0.1153846153846153,0.1346153846153846,0.173076923076923,0.2307692307692307,0.2307692307692307,1.0666666666666667,1.4666666666666666,15.0,7,-6.0,1.422414,0.5333333333333333,1.6,15.0,7,-16.0,1.3854006666666667,Wolverhampton Wanderers,15.0,2.0,4.0,9.0,8.0,24.0,10.0,14.23,12.7,20.78,19.26,-6.56,14.83,11.35,91.0,114.0,15.49,15.0,5.0,3.0,7.0,16.0,22.0,18.0,17.35,15.83,21.34,18.91,-3.08,11.87,11.7,93.0,104.0,20.24,1.6511281666666668,1.0378458333333336,1.3333333333333333,0.8333333333333334
190,190,13.05.2023,Arsenal,Brighton,Upcoming,england-premier-league-2022-2023,€749.00m,€313.10m,1.8421052631578947,1.368421052631579,1.263157894736842,1.605263157894737,5.0,0.1967213114754098,0.2295081967213114,0.081967213114754,0.2295081967213114,0.081967213114754,0.180327868852459,1.0,1.2105263157894737,1.105263157894737,1.1578947368421053,9.0,0.0952380952380952,0.0952380952380952,0.1904761904761904,0.1666666666666666,0.119047619047619,0.3333333333333333,1.6428571428571428,1.3571428571428572,14.0,7,4.0,1.1477214285714283,2.357142857142857,0.7857142857142857,14.0,7,22.0,0.8436295714285716,Arsenal,14.0,12.0,1.0,1.0,33.0,11.0,37.0,29.54,28.78,11.81,10.29,18.49,9.77,14.27,158.0,58.0,31.08,14.0,6.0,3.0,5.0,23.0,19.0,21.0,24.9,22.61,16.07,13.02,9.59,10.3,14.42,128.0,89.0,25.52,1.0773885000000003,0.8183975,1.0,1.0
191,191,13.05.2023,Aston Villa,Tottenham,Upcoming,england-premier-league-2022-2023,€464.60m,€678.40m,1.5263157894736843,1.2105263157894737,1.4210526315789471,1.368421052631579,14.0,0.1153846153846153,0.1153846153846153,0.1346153846153846,0.173076923076923,0.2307692307692307,0.2307692307692307,2.0,1.631578947368421,1.8157894736842104,1.0526315789473684,4.0,0.1594202898550724,0.1304347826086956,0.1739130434782608,0.1884057971014492,0.2028985507246377,0.144927536231884,2.066666666666667,1.4,15.0,7,10.0,1.2043640666666668,1.0666666666666667,1.4666666666666666,15.0,7,-6.0,1.422414,Aston Villa,15.0,5.0,3.0,7.0,16.0,22.0,18.0,17.35,15.83,21.34,18.91,-3.08,11.87,11.7,93.0,104.0,20.24,15.0,9.0,2.0,4.0,31.0,21.0,29.0,26.09,23.8,18.07,17.3,6.5,13.52,16.04,107.0,114.0,25.89,1.165028333333333,1.9685385,1.0,2.5
192,192,13.05.2023,Brentford,West Ham,Upcoming,england-premier-league-2022-2023,€305.50m,€459.50m,1.1578947368421053,1.368421052631579,1.4736842105263157,1.263157894736842,13.0,0.1041666666666666,0.1458333333333333,0.0833333333333333,0.2291666666666666,0.125,0.3125,1.736842105263158,1.4210526315789471,1.5789473684210529,1.3421052631578947,7.0,0.0833333333333333,0.15,0.1833333333333333,0.1666666666666666,0.2166666666666666,0.2,0.8,1.1333333333333333,15.0,7,-5.0,1.1686907333333332,1.5333333333333334,1.6666666666666667,15.0,7,-2.0,1.5089035999999998,Brentford,15.0,4.0,7.0,4.0,23.0,25.0,19.0,23.45,20.41,22.63,21.87,-1.47,11.43,9.95,88.0,139.0,22.09,15.0,4.0,2.0,9.0,12.0,17.0,14.0,19.59,16.55,17.53,15.25,1.3,18.37,15.5,66.0,83.0,21.75,1.57816,0.8087019999999999,2.0,0.5
193,193,13.05.2023,Chelsea,Nottingham Forest,Upcoming,england-premier-league-2022-2023,€846.50m,€280.80m,1.947368421052632,2.0526315789473686,0.868421052631579,2.0,3.0,0.1447368421052631,0.1447368421052631,0.1578947368421052,0.25,0.0921052631578947,0.2105263157894736,,,,,,,,,,,,0.7333333333333333,2.0,15.0,7,-19.0,1.7812905333333338,1.2142857142857142,1.2142857142857142,14.0,7,0.0,1.5618555,Chelsea,14.0,6.0,3.0,5.0,17.0,17.0,21.0,16.81,15.29,21.87,21.87,-6.58,8.82,13.77,100.0,62.0,15.72,15.0,3.0,4.0,8.0,11.0,30.0,13.0,15.53,14.01,26.72,22.91,-8.91,17.8,9.69,57.0,149.0,14.17,0.0,0.0,0.0,0.0
194,194,13.05.2023,Crystal Palace,Bournemouth,Upcoming,england-premier-league-2022-2023,€293.20m,€179.70m,1.4210526315789471,1.2105263157894737,1.2105263157894737,1.3157894736842106,12.0,0.14,0.08,0.18,0.18,0.18,0.24,,,,,,,,,,,,1.2,2.1333333333333333,15.0,7,-14.0,1.6939280666666667,1.0714285714285714,1.2857142857142858,14.0,7,-3.0,1.4471392857142857,Crystal Palace,14.0,5.0,4.0,5.0,15.0,18.0,19.0,15.3,13.63,20.26,20.26,-6.63,14.52,8.97,63.0,133.0,15.87,15.0,4.0,4.0,7.0,18.0,32.0,16.0,13.32,13.32,25.41,21.6,-8.28,18.58,8.51,75.0,149.0,13.09,0.586108,0.35321800000000003,1.5,0.0
